timestamp,share_history_count,login_history_count,browsing_history_count,like_list_count,favorite_sounds_count,favorite_videos_count,temperature,precipitation,weather_code,weather_description,hour,day_of_week,is_weekend,total_activity
2023-06-13 16:00:00,0.0,0.0,0.0,0.0,0.0,1.0,20.3,0.0,2,Partly cloudy,16,Tuesday,False,1.0
2023-06-13 19:00:00,0.0,0.0,0.0,0.0,0.0,7.0,19.3,0.0,3,Overcast,19,Tuesday,False,7.0
2023-06-13 20:00:00,0.0,0.0,0.0,0.0,1.0,10.0,18.7,0.0,3,Overcast,20,Tuesday,False,11.0
2023-06-14 14:00:00,0.0,0.0,0.0,0.0,0.0,6.0,23.2,0.1,51,Drizzle,14,Wednesday,False,6.0
2023-06-14 15:00:00,0.0,0.0,0.0,0.0,1.0,2.0,22.1,0.1,51,Drizzle,15,Wednesday,False,3.0
2023-06-15 10:00:00,0.0,0.0,0.0,0.0,0.0,2.0,23.4,0.0,1,Mainly clear,10,Thursday,False,2.0
2023-06-15 11:00:00,0.0,0.0,0.0,0.0,1.0,3.0,24.4,0.0,3,Overcast,11,Thursday,False,4.0
2023-06-16 07:00:00,0.0,0.0,0.0,0.0,0.0,2.0,19.3,0.0,0,Clear sky,7,Friday,False,2.0
2023-06-17 21:00:00,0.0,0.0,0.0,0.0,0.0,1.0,20.7,0.1,51,Drizzle,21,Saturday,True,1.0
2023-06-17 22:00:00,0.0,0.0,0.0,0.0,0.0,1.0,20.3,1.2,55,Heavy rain,22,Saturday,True,1.0
2023-06-19 07:00:00,0.0,0.0,0.0,0.0,0.0,9.0,18.9,1.1,55,Heavy rain,7,Monday,False,9.0
2023-06-20 11:00:00,0.0,0.0,0.0,0.0,3.0,7.0,22.9,0.0,1,Mainly clear,11,Tuesday,False,10.0
2023-06-20 14:00:00,0.0,0.0,0.0,0.0,0.0,2.0,23.7,0.2,51,Drizzle,14,Tuesday,False,2.0
2023-06-20 16:00:00,0.0,0.0,0.0,0.0,0.0,1.0,24.6,0.2,51,Drizzle,16,Tuesday,False,1.0
2023-06-21 06:00:00,0.0,0.0,0.0,0.0,0.0,1.0,18.6,0.0,0,Clear sky,6,Wednesday,False,1.0
2023-06-21 07:00:00,0.0,0.0,0.0,0.0,1.0,6.0,19.9,0.0,0,Clear sky,7,Wednesday,False,7.0
2023-06-23 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,21.5,0.0,0,Clear sky,7,Friday,False,1.0
2023-06-23 08:00:00,0.0,0.0,0.0,0.0,0.0,4.0,22.8,0.0,0,Clear sky,8,Friday,False,4.0
2023-06-23 21:00:00,0.0,0.0,0.0,0.0,0.0,5.0,22.4,0.0,0,Clear sky,21,Friday,False,5.0
2023-06-25 21:00:00,0.0,0.0,0.0,0.0,0.0,3.0,22.4,0.0,0,Clear sky,21,Sunday,True,3.0
2023-06-26 13:00:00,0.0,0.0,0.0,0.0,1.0,12.0,26.7,0.0,0,Clear sky,13,Monday,False,13.0
2023-06-30 05:00:00,0.0,0.0,0.0,0.0,0.0,4.0,13.1,0.0,3,Overcast,5,Friday,False,4.0
2023-07-01 01:00:00,0.0,0.0,0.0,0.0,0.0,1.0,18.5,0.0,0,Clear sky,1,Saturday,True,1.0
2023-07-01 09:00:00,0.0,0.0,0.0,0.0,0.0,1.0,24.3,0.0,0,Clear sky,9,Saturday,True,1.0
2023-07-03 11:00:00,0.0,0.0,0.0,0.0,0.0,3.0,29.7,0.0,0,Clear sky,11,Monday,False,3.0
2023-07-04 00:00:00,0.0,0.0,0.0,0.0,0.0,2.0,21.8,0.0,0,Clear sky,0,Tuesday,False,2.0
2023-07-04 02:00:00,0.0,0.0,0.0,0.0,0.0,1.0,21.3,0.0,0,Clear sky,2,Tuesday,False,1.0
2023-07-06 11:00:00,0.0,0.0,0.0,0.0,0.0,2.0,28.2,0.0,3,Overcast,11,Thursday,False,2.0
2023-07-07 14:00:00,0.0,0.0,0.0,0.0,0.0,1.0,31.4,0.0,1,Mainly clear,14,Friday,False,1.0
2023-07-07 19:00:00,0.0,0.0,0.0,0.0,0.0,1.0,29.1,0.0,3,Overcast,19,Friday,False,1.0
2023-07-08 01:00:00,0.0,0.0,0.0,0.0,0.0,1.0,22.6,1.1,55,Heavy rain,1,Saturday,True,1.0
2023-07-08 03:00:00,0.0,0.0,0.0,0.0,0.0,5.0,21.8,0.2,51,Drizzle,3,Saturday,True,5.0
